,method,seed,modal,mae,cor,f1,acc
28,mmix_im_01,0,[0&1&2],0.8399038,0.11388516273028025,0.6740765695268286,0.6088397790055249
29,mmix_im_10,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
30,mmix_im_20,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
31,mmix_im_01,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
32,mmix_im_10,0,[0&1&2],0.8399038,0.11388516273028025,0.6740765695268286,0.6088397790055249
33,mmix_im_01,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
34,mmix_im_20,0,[0&1&2],0.8399038,0.11388516273028025,0.6740765695268286,0.6088397790055249
35,mmix_im_10,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
36,mmix_im_01,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
37,mmix_im_20,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
38,mmix_im_10,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
39,mmix_01,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
40,mmix_im_20,0,[1&2],0.8544559,0.23271946122279938,0.5778724232909735,0.5839779005524862
41,mmix_im_10,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
42,mmix_01,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
43,mmix_im_20,0,[0&2],0.8848655,0.09618454896709903,0.7070453827907144,0.6113259668508287
44,mmix_10,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
45,mmix_01,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
46,mmix_20,0,[0],1.1307415,-0.11037785179654867,0.6797839909032823,0.5922651933701657
47,mmix_10,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
48,mmix_01,0,[0&1&2],0.63584447,0.6507966186128227,0.7980150048133319,0.7994475138121547
49,mmix_20,0,[1],1.0074456,0.05139560614838225,0.4893368701484489,0.4320441988950276
50,mmix_10,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
51,mmix_01,0,[0&1],0.905405,-0.08433087072613049,0.6308149930934852,0.574585635359116
52,mmix_20,0,[2],0.82932484,0.24759632984127597,0.6305277101669627,0.6281767955801105
