,method,seed,modal,acc
99,gmc_l_lr1e-3_wd1e-4,0,[2],0.9971794486045837
367,mmix_l_05_lr1e-4_wd1e-4,0,[0&2],0.9971794486045837
78,mmix_l_05_lr1e-3_wd1e-3,0,[0&2],0.9971794486045837
200,mmix_l_05_lr5e-4_wd1e-3,0,[0&2],0.9971794486045837
159,mmix_l_05_lr5e-4_wd0.0,0,[0&2],0.9971794486045837
242,mmix_l_05_lr5e-4_wd1e-4,0,[0&2],0.9971794486045837
38,mmix_l_05_lr1e-3_wd0.0,0,[0&2],0.9971794486045837
283,mmix_l_05_lr1e-4_wd0.0,0,[0&2],0.9971794486045837
325,mmix_l_05_lr1e-4_wd1e-3,0,[0&2],0.9971794486045837
224,gmc_l_lr5e-4_wd1e-4,0,[0],0.9971680045127869
182,gmc_l_lr5e-4_wd1e-3,0,[0],0.9970703125
47,gmc_l_lr1e-3_wd1e-3,0,[0],0.9970703125
294,gmc_nl_lr1e-4_wd0.0,0,[0&1&2],0.9970703125
70,gmc_nl_lr1e-3_wd1e-3,0,[0],0.9969726800918579
139,gmc_l_lr5e-4_wd0.0,0,[0],0.9969726800918579
0,gmc_l_lr1e-3_wd0.0,0,[0],0.996777355670929
226,gmc_l_lr5e-4_wd1e-4,0,[2],0.9966797232627869
377,gmc_nl_lr1e-4_wd1e-4,0,[0&1&2],0.9964843988418579
132,mmix_nl_05_lr5e-4_wd0.0,0,[2],0.9962028861045837
298,mmix_nl_05_lr1e-4_wd1e-3,0,[2],0.9962028861045837
91,mmix_nl_05_lr1e-3_wd1e-4,0,[2],0.9962028861045837
256,mmix_nl_05_lr1e-4_wd0.0,0,[2],0.9962028861045837
215,mmix_nl_05_lr5e-4_wd1e-4,0,[2],0.9962028861045837
48,mmix_nl_05_lr1e-3_wd1e-3,0,[2],0.9962028861045837
174,mmix_nl_05_lr5e-4_wd1e-3,0,[2],0.9962028861045837
9,mmix_nl_05_lr1e-3_wd0.0,0,[2],0.9962028861045837
339,mmix_nl_05_lr1e-4_wd1e-4,0,[2],0.9962028861045837
341,mmix_nl_10_lr1e-4_wd1e-4,0,[2],0.9960075616836548
257,mmix_nl_10_lr1e-4_wd0.0,0,[2],0.9960075616836548
86,mmix_nl_10_lr1e-3_wd1e-4,0,[2],0.9960075616836548
171,mmix_nl_10_lr5e-4_wd1e-3,0,[2],0.9960075616836548
46,mmix_nl_10_lr1e-3_wd1e-3,0,[2],0.9960075616836548
299,mmix_nl_10_lr1e-4_wd1e-3,0,[2],0.9960075616836548
10,mmix_nl_10_lr1e-3_wd0.0,0,[2],0.9960075616836548
129,mmix_nl_10_lr5e-4_wd0.0,0,[2],0.9960075616836548
214,mmix_nl_10_lr5e-4_wd1e-4,0,[2],0.9960075616836548
205,gmc_nl_lr5e-4_wd1e-3,0,[2],0.9957146048545837
340,gmc_nl_lr1e-4_wd1e-3,0,[0&1&2],0.9955307841300964
207,gmc_nl_lr5e-4_wd1e-3,0,[1&2],0.9955078363418579
185,gmc_l_lr5e-4_wd1e-3,0,[0&1],0.9954447150230408
79,gmc_nl_lr1e-3_wd1e-3,0,[0&1],0.9954331517219543
150,mmix_l_10_lr5e-4_wd0.0,0,[2],0.995312511920929
235,mmix_l_10_lr5e-4_wd1e-4,0,[2],0.995312511920929
66,mmix_l_10_lr1e-3_wd1e-3,0,[2],0.995312511920929
193,mmix_l_10_lr5e-4_wd1e-3,0,[2],0.995312511920929
27,mmix_l_10_lr1e-3_wd0.0,0,[2],0.995312511920929
